Name,Location,Install Date,Tile Type,Total Mosaic Area (ft^2),Web Page / Image
Tropicana Cielo Suites,"2831 Boardwalk, Atlantic City, NJ 08401",3/4/11,Sintered Glass,830,https://artaic.com/installations/tropicana-hotel-bathroom-floral-vine-glass-tile-mosaic-border-detail/
Woodbury Premium Outlets,"498 Red Apple Court, Woodbury, NY 10917",5/11/15,Sintered Glass,425,https://artaic.com/installations/woodbury-premium-outlets-floor-medallion/
Waldrop Nichols Domain,"Flatiron Domain, 10727 Domain Dr, Austin, TX 78758, USA",,Virtreous Glass,164,
NRG Forest Park Austin,"Forest Park 1088 Park Plaza Drive Austin, TX 78753",,Virtreous Glass,439,
Silicon Labs Gensler Trinity,"Silicon Labs, 400 W Cesar Chavez St, Austin, TX 78701, USA",,Virtreous Glass,96.53,
Chase Austin TX,"16738 State Highway 71, Lakeway, TX 78738, USA",,Sintered Glass,211.44,https://artaic.com/installations/chase-banks/
Hotel Indigo Mad Hospitality,"Hotel Indigo Austin Downtown, 810 Red River Street Austin, TX 78701, USA",,Virtreous Glass,21.44,https://files.podio.com/943089515
S. Tipton Studio - Mirror Tile TX Health Action,"Texas Health Action, 101 W Koenig Lane, Austin, TX 78761, USA",,Smalti Glass,354.42,https://files.podio.com/1337189081
Hilltop Senior Living Studio Six5,"Hilltop Senior Living, 525 S Holly St, Denver, CO 80246, USA",,Virtreous Glass,100.89,https://files.podio.com/1442258743
Nicola's Home - Maeve Addition,"251 US-1 Ste 101, Falmouth, ME 04105, USA",,Virtreous Glass,40.73,https://files.podio.com/1456562526
The Vista Refab,"Fremont, CA 94538",,Virtreous Glass,90.66,https://files.podio.com/382584446
Logo Wyndhurst Medical,"200 Archway Ct, Lynchburg, VA 24502, USA",,Virtreous Glass,23.23,https://files.podio.com/428024441
Sand Design Residence Inn Refab,"6350 Hollister Ave, Goleta, CA 93117",,Virtreous Glass,20.22,https://files.podio.com/432603498
Kimpton Grand Cayman,"60 Tanager Way, Grand Cayman KY1-1303, Cayman Islands",,Unglazed Porcelain,200,
McDermott Front Entry,"Kula, Hawaii, 96790",,Virtreous Glass,55.74,https://files.podio.com/435674520
McDermott Refab,"Kula, Hawaii, 96790",,Virtreous Glass,55.74,
Home Owner Bathroom Wall,"Saddle River, New Jersey 07458",,Virtreous Glass,85.45,https://files.podio.com/454595484
Midtown Pool Additional,"Wayne, New Jersey 07470",,Virtreous Glass,116.17,
Gupta Shower Refab,"Belmont, MA 02478",,Virtreous Glass,68.52,
Quest Additional,"49 Veronica Ave. Somerset, NJ 08873",,Virtreous Glass,66.49,
Parque Condo Tower Kids Pool,"300 & 330 Sunny Isles Blvd, Sunny Isles Beach, FL 33160",,Virtreous Glass,276.85,https://files.podio.com/345114330
Avery Condominium,"100 Riverside Blvd, New York, NY 10069",,Sintered Glass,506.4,https://files.podio.com/1351966958
YMCA Clarion,"499 Mayfield Rd, Clarion, PA 16214",,Sintered Glass,102.82,https://files.podio.com/548724937
"Chase Bank Bartonville, TX","Bartonville, TX, 76226",,Sintered Glass,117.36,https://artaic.com/installations/chase-banks/
Thoreau school logo,"2505 Cedar Lane Vienna, VA 22180",,Glazed Porcelain,103.55,https://files.podio.com/608930526
Ave Maria Univ - Pope and Teresa,"5050 Ave Maria Blvd, Ave Maria, FL 34142",,Virtreous Glass,185.94,https://www.google.com/search?q=Ave+Maria+University+mosaic&rlz=1C5CHFA_enUS797US813&source=lnms&tbm=isch&sa=X&ved=2ahUKEwiO1_bUt7f9AhVyF1kFHUAXDn0Q_AUoAXoECAEQAw&biw=1440&bih=702&dpr=2#imgrc=Rq88VPvDp78nhM
Catholic School - Exterior mosaics,"37 Pleasant St, Brunswick, ME 04011",,Virtreous Glass,37.01,
Beth Donner - Ruth Chris - Ponte Verde,"Ponte Vedra Beach, FL, 32082",,Virtreous Glass,68.9,https://files.podio.com/629065409
Fairfield Inn Marriott Fair Oaks Farms,"708 N 600 E, Fair Oaks, IN 47943",,Virtreous Glass,821.4,https://files.podio.com/609764329
"Chase Basking Ridge, NJ","25 Mountainview Blvd. Unit 1. Basking Ridge , NJ 07920",,Sintered Glass,105.72,
Red Leaf Water Feature,"Lincoln, CA",,Virtreous Glass,55.8,https://files.podio.com/582580303
"Chase bank mosaic - Doraville, GA","5768 Buford Hwy NE, Doraville, GA 30340",,Sintered Glass,126.69,https://files.podio.com/629766712
Shower Wall Peterson,"Menlo Park, CA",,Virtreous Glass,42.75,https://files.podio.com/659915002
"Chase Bank 64th & Roosevelt, Seattle, Wa.","6402 Roosevelt Way NE, Seattle, WA 98115",,Sintered Glass,79.01,https://files.podio.com/616074150
Norway Airport Restrooms,Norway,,Virtreous Glass,54.05,https://artaic.com/installations/norway-airport/
Chase Norman Refab,"215 W Boyd St. Norman , OK 73069",,Sintered Glass,74.8,
Design Twenty 7 Pool,"South Pasadena, CA, 91030",,Virtreous Glass,62.02,https://files.podio.com/850812688
Chase Bank Lake Forest - Retro,"300 East Illinois Road, Lake Forest, IL 60045",,Sintered Glass,79.87,
Chase - North Miami,"North Miami, Florida",,Sintered Glass,127.01,https://files.podio.com/675783029